census_block_group,Total population,Households total,female_ratio,white_ratio,black_ratio,asian_ratio,Hispanic_ratio,non_Hispanic_white_ratio,non_Hispanic_black_ratio,bachelor_ratio,english_limited_ratio,average_income,median_income,poverty_ratio,median_age,population_young_ratio,population_middle_ratio,population_old_ratio,unemployed_ratio,moved_in_5_years_ratio,disability_household_ratio,no_health_insurance_ratio,single_family_ratio,driving_ratio,public_transit_ratio,average_commuting_time,leave_home_time,average_household_size,children_rate,vehicle_rate,longitude,latitude,average_income_group
421010011011,572,371,0.3881118881118881,0.7604895104895105,0.0699300699300699,0.1468531468531468,0.0,0.7604895104895105,0.0699300699300699,0.7841726618705036,0.1212938005390835,125330.18867924529,81875.0,0.1608391608391608,56.5,0.0,0.5979020979020979,0.4020979020979021,0.2017291066282421,0.0350404312668463,0.091644204851752,0.0,0.0,0.2454873646209386,0.0830324909747292,31.182926829268293,8.308536585365854,1.3557951482479784,0.0,0.5121293800539084,-75.16426178330035,39.94554603894119,4.0
421010011012,1360,573,0.6411764705882353,0.7558823529411764,0.1051470588235294,0.0602941176470588,0.0242647058823529,0.7316176470588235,0.1051470588235294,0.7665805340223945,0.0,104947.6439790576,73475.0,0.2117647058823529,29.3,0.0823529411764705,0.7441176470588236,0.1735294117647058,0.0133779264214046,0.1535776614310645,0.2041884816753926,0.0,0.0592705167173252,0.3329425556858147,0.2954279015240328,29.97948417350528,7.762309495896835,1.8917975567190224,1.435897435897436,0.4048865619546248,-75.16277186777326,39.94383006634286,4.0
421010011013,886,502,0.5282167042889391,0.984198645598194,0.0158013544018058,0.0,0.154627539503386,0.8295711060948081,0.0158013544018058,0.8537271448663853,0.0,122629.48207171317,66023.0,0.0699774266365688,30.9,0.1783295711060948,0.7437923250564334,0.0778781038374717,0.013953488372093,0.0258964143426294,0.0816733067729083,0.1139954853273137,0.0248175182481751,0.4012841091492777,0.1717495987158908,23.67479674796748,8.092682926829267,1.651394422310757,0.9349112426035504,0.4621513944223108,-75.16091398454816,39.94531051431214,4.0
421010011014,848,246,0.5860849056603774,0.8290094339622641,0.0636792452830188,0.0683962264150943,0.0601415094339622,0.7948113207547169,0.0542452830188679,0.7156177156177156,0.0,86321.13821138212,82727.0,0.1321499013806706,25.1,0.2346698113207547,0.6509433962264151,0.1143867924528301,0.0842911877394636,0.1463414634146341,0.0447154471544715,0.0271226415094339,0.1423611111111111,0.120253164556962,0.3143459915611814,29.268433179723505,10.110023041474657,1.5975609756097562,0.2448979591836734,0.7154471544715447,-75.16284217767273,39.945753700025016,3.0
421010011021,935,546,0.5401069518716578,0.9122994652406418,0.0235294117647058,0.0641711229946524,0.0203208556149732,0.8919786096256684,0.0235294117647058,0.8591194968553459,0.0,110760.07326007326,94107.0,0.1022850924918389,34.2,0.0941176470588235,0.7786096256684492,0.1272727272727272,0.0258249641319942,0.1025641025641025,0.1336996336996337,0.0096256684491978,0.0140105078809106,0.3357879234167893,0.203240058910162,34.6625,8.07125,1.6886446886446886,0.5217391304347826,0.5842490842490842,-75.15591609398489,39.94389036999478,4.0
421010011022,1631,991,0.4469650521152667,0.7308399754751687,0.1005518087063151,0.1250766400980993,0.0067443286327406,0.724095646842428,0.1005518087063151,0.8867924528301887,0.0100908173562058,86879.41473259334,67083.0,0.2521685254027261,29.9,0.0698957694665849,0.8577559779276518,0.0723482526057633,0.0271493212669683,0.1200807265388496,0.0998990918264379,0.0502759043531575,0.0,0.2945075757575757,0.3087121212121212,31.55478775913129,8.900789733464956,1.4752774974772958,0.7716535433070866,0.4399596367305751,-75.15816108896911,39.944969957090905,3.0
421010012011,1204,469,0.5340531561461794,0.8355481727574751,0.0,0.0921926910299003,0.0182724252491694,0.8172757475083057,0.0,0.9187878787878788,0.0,153997.86780383796,,0.0182724252491694,36.0,0.2990033222591362,0.5805647840531561,0.1204318936877076,0.0344287949921752,0.0234541577825159,0.2025586353944563,0.0,0.0,0.2749077490774907,0.0461254612546125,26.58080808080808,9.161111111111111,2.449893390191898,1.4229249011857708,0.7825159914712153,-75.18338907140992,39.94755254372158,4.0
421010012012,1124,702,0.5854092526690391,0.8567615658362989,0.0088967971530249,0.0622775800711743,0.0880782918149466,0.7686832740213523,0.0088967971530249,0.7963496637848223,0.0,120445.1566951567,76458.0,0.1085409252669039,35.8,0.0231316725978647,0.7046263345195729,0.2722419928825623,0.0308056872037914,0.0712250712250712,0.094017094017094,0.0382562277580071,0.07248322147651,0.2478421701602959,0.1750924784217016,26.09511889862328,8.516270337922403,1.5313390313390314,0.1192660550458715,0.5527065527065527,-75.17732358387903,39.94781484057897,4.0
421010012013,916,517,0.5032751091703057,0.8438864628820961,0.0,0.1419213973799126,0.0425764192139738,0.8013100436681223,0.0,0.9356164383561644,0.0,141735.9767891683,113450.0,0.0,31.2,0.1626637554585152,0.7314410480349345,0.1058951965065502,0.0,0.0251450676982591,0.04642166344294,0.0,0.02321083172147,0.358273381294964,0.1827338129496402,30.958588957055216,8.441334355828221,1.7117988394584138,0.575,0.7040618955512572,-75.17660145005708,39.94601086536251,4.0
421010012014,890,508,0.5640449438202247,0.9179775280898876,0.0280898876404494,0.0,0.0146067415730337,0.903370786516854,0.0280898876404494,0.9561952440550688,0.0,122298.22834645669,108085.0,0.0505617977528089,41.7,0.0786516853932584,0.6415730337078651,0.2797752808988764,0.0444839857651245,0.0688976377952756,0.1043307086614173,0.0,0.0255905511811023,0.2383612662942272,0.1527001862197393,23.745173745173744,9.031853281853282,1.6811023622047243,0.328125,0.7224409448818898,-75.18000525694404,39.94643356828324,4.0
421010012021,1383,905,0.4945770065075922,0.824295010845987,0.0195227765726681,0.1099060014461316,0.111352133044107,0.7469269703543022,0.0195227765726681,0.9190697674418604,0.0,104104.9723756906,71281.0,0.1330441070137382,31.3,0.0556760665220535,0.7368040491684743,0.2075198843094721,0.036726128016789,0.1502762430939226,0.0530386740331491,0.0303687635574837,0.0091370558375634,0.2019758507135016,0.2590559824368825,29.98201438848921,8.392985611510792,1.4939226519337017,0.3155737704918033,0.4464088397790055,-75.16897544073808,39.94677455487042,4.0
421010012022,1033,681,0.3862536302032914,0.8818973862536302,0.0735721200387221,0.0445304937076476,0.0135527589545014,0.8683446272991288,0.0735721200387221,0.790096878363832,0.0,89974.30249632892,72917.0,0.090029041626331,35.4,0.0329138431752178,0.6882865440464666,0.2787996127783156,0.0756972111553784,0.0763582966226138,0.1262848751835536,0.0038722168441432,0.0513950073421439,0.2399425287356321,0.0689655172413793,23.209281961471103,8.708844133099825,1.4919236417033774,0.1785714285714285,0.5212922173274597,-75.16985535149637,39.945249702928834,3.0
421010012023,965,562,0.5606217616580311,0.8435233160621761,0.0953367875647668,0.0269430051813471,0.082901554404145,0.7772020725388601,0.0787564766839378,0.9409038238702202,0.0,120920.81850533807,90510.0,0.0273109243697479,31.0,0.1056994818652849,0.8518134715025907,0.0424870466321243,0.0,0.1903914590747331,0.0213523131672597,0.0273109243697479,0.0187074829931972,0.404,0.1986666666666666,25.717821782178216,8.069660537482319,1.6690391459074734,0.7555555555555555,0.7864768683274022,-75.173272588764,39.94559225712031,4.0
421010012024,895,304,0.4994413407821229,0.7664804469273743,0.1262569832402234,0.0502793296089385,0.1206703910614525,0.6893854748603352,0.1262569832402234,0.7200647249190939,0.0,142171.05263157896,91000.0,0.0961538461538461,29.6,0.1519553072625698,0.5653631284916201,0.28268156424581,0.0281425891181988,0.0394736842105263,0.0953947368421052,0.0321750321750321,0.1246943765281173,0.22007722007722,0.1138996138996139,30.625,9.646929824561404,1.875,0.6538461538461539,0.5723684210526316,-75.16655339460311,39.945200506058114,4.0
421010012025,835,444,0.6766467065868264,0.9437125748502994,0.0167664670658682,0.0395209580838323,0.0191616766467065,0.9245508982035928,0.0167664670658682,0.9449838187702264,0.0,133254.5045045045,84722.0,0.1029940119760479,32.3,0.1700598802395209,0.725748502994012,0.104191616766467,0.0152027027027027,0.0653153153153153,0.027027027027027,0.0,0.0,0.3006993006993007,0.1503496503496503,26.72253258845437,8.96880819366853,1.7837837837837838,0.9342105263157896,0.6734234234234234,-75.17290655646815,39.9472611877543,4.0
421010013001,772,458,0.5880829015544041,0.6658031088082902,0.1541450777202072,0.0751295336787564,0.0854922279792746,0.6062176165803109,0.1541450777202072,0.7251552795031055,0.0,110458.5152838428,62692.0,0.155440414507772,37.6,0.1139896373056994,0.7331606217616581,0.1528497409326424,0.0,0.0458515283842794,0.0262008733624454,0.1062176165803108,0.0,0.4335260115606936,0.0963391136801541,33.10693641618497,8.06791907514451,1.504366812227074,0.8712871287128713,0.7030567685589519,-75.1787472091359,39.94431306906215,4.0
421010013002,1009,356,0.4608523290386521,0.7195242814667988,0.2259663032705649,0.0386521308225966,0.0891972249752229,0.6303270564915758,0.2259663032705649,0.757985257985258,0.0,115814.60674157304,108167.0,0.0148662041625371,31.8,0.1863230921704658,0.7254707631318137,0.0882061446977205,0.0496987951807228,0.0421348314606741,0.0786516853932584,0.0307234886025768,0.0,0.2060221870047543,0.179080824088748,28.28688524590164,8.198360655737705,2.449438202247191,0.867816091954023,0.6095505617977528,-75.17919421792581,39.94255047206044,4.0
421010013003,689,225,0.7416545718432511,0.2554426705370101,0.4891146589259796,0.0,0.1132075471698113,0.2554426705370101,0.4891146589259796,0.3275862068965517,0.0,83422.22222222222,54453.0,0.0188679245283018,30.2,0.1117561683599419,0.7300435413642961,0.1582002902757619,0.1051344743276283,0.0844444444444444,0.4844444444444444,0.2554426705370101,0.0,0.3688524590163934,0.3770491803278688,27.636612021857925,8.717213114754099,2.315555555555556,0.3170731707317073,0.4711111111111111,-75.17962515263962,39.94057123186071,3.0
421010013004,749,364,0.5020026702269693,0.5994659546061415,0.3684913217623498,0.0146862483311081,0.0093457943925233,0.5901201602136181,0.3684913217623498,0.6607142857142857,0.0,97211.53846153848,85469.0,0.0747663551401869,34.2,0.1335113484646194,0.774365821094793,0.0921228304405874,0.0,0.0247252747252747,0.195054945054945,0.048064085447263,0.0,0.4458438287153652,0.1763224181360201,33.268229166666664,9.713541666666666,1.807692307692308,0.7207207207207207,0.5851648351648351,-75.18195679036437,39.94296613153229,3.0
421010013005,2889,1220,0.4742125302872966,0.621668397369332,0.2038767739702319,0.1142263759086189,0.0038075458636206,0.6178608515057114,0.2038767739702319,0.7349448685326548,0.030327868852459,123239.75409836066,103214.0,0.1166493596400138,34.2,0.1388023537556247,0.6905503634475597,0.1706472827968155,0.0422622747047855,0.0934426229508196,0.3008196721311475,0.037037037037037,0.0325088339222614,0.4065261726716519,0.1781101291638341,29.814481268011527,9.25,2.1040983606557377,0.5184615384615384,0.8139344262295082,-75.18650861212512,39.94298059735558,4.0
