placekey,latitude,longitude
222-222@628-p9r-28v,40.074175,-75.034141
222-222@628-p9t-h3q,40.10138,-74.985883
222-222@628-pgd-z2k,,
222-222@628-phd-ndv,39.997857,-75.214956
222-222@628-php-xdv,40.051173,-75.15065
222-222@63s-dw4-r6k,39.896649,-75.22856
223-222@628-p8d-fzz,40.001917,-75.079881
223-222@628-p8d-kpv,40.005511,-75.091993
223-222@628-p9k-n3q,40.097682,-75.017432
223-222@628-ph5-yn5,39.972703,-75.241396
223-222@628-pj2-ht9,40.003612,-75.099938
223-222@628-pjf-kcq,40.075357,-75.207385
223-223@628-pnx-6rk,39.960788,-75.145505
223-223@628-pp2-nqz,39.995632,-75.09616
224-222@628-pgb-k4v,39.972074,-75.158837
224-222@628-phm-6zf,40.054388,-75.136073
225-222@628-p72-5s5,40.053948,-74.983889
225-222@628-pg9-789,39.992643,-75.176074
225-222@628-pgm-5cq,40.007508,-75.186017
225-222@628-pnx-5vf,39.96162,-75.148752
227-222@628-p89-nt9,40.012648,-75.065714
227-222@628-p8m-vs5,40.028784,-75.05869
227-223@628-p9p-w49,40.097739,-75.031199
228-222@628-phn-7qz,40.079177,-75.171335
228-222@628-phq-2c5,40.059422,-75.164458
228-222@628-phy-z4v,40.031212,-75.117947
228-222@628-pmd-xt9,39.938794,-75.177497
228-223@628-pg8-c3q,39.981773,-75.18011800000001
228-223@63s-dvz-2rk,39.955786,-75.214102
22b-222@628-p9v-4d9,40.095264,-74.98644200000001
22c-223@628-pgj-d7q,39.979068,-75.159667
22c-225@628-pgf-2ff,39.956991,-75.1975
22d-222@628-pg4-grk,40.030538,-75.181434
22d-222@628-pj9-6tv,40.043197,-75.144645
22d-222@628-pm3-td9,39.927952000000005,-75.162075
22f-222@628-pm6-fzz,39.919304,-75.148682
22g-222@628-p75-6c5,40.050984,-75.01011899999999
22g-222@628-pg4-3bk,40.029771,-75.164952
22g-222@628-pgb-2hq,39.956094,-75.159961
22g-222@628-pm9-tn5,39.948545,-75.153699
22k-222@628-pg9-ch5,39.986199,-75.16895600000001
22k-222@628-pp2-8d9,39.984525,-75.103144
22m-222@628-pj6-99f,40.032532,-75.105886
22m-222@63s-dvx-wc5,39.95006,-75.206747
22n-222@628-pgh-389,40.005692,-75.15868499999999
22p-222@628-pp4-tvz,39.978954,-75.115361
22r-222@628-pm4-hdv,39.925969,-75.173571
22r-222@63s-dvw-k2k,39.953737,-75.22596899999999
22s-222@628-pgj-n3q,39.994158,-75.14493
22t-223@628-p8j-89z,40.03535,-75.040137
22v-222@628-pm5-3bk,39.940761,-75.168061
22w-222@628-pnz-zs5,39.993795,-75.101331
22w-222@63s-dvr-2x5,39.9205,-75.226251
22x-222@63s-dvx-6x5,39.973868,-75.220251
22z-222@628-p7x-xh5,40.052662,-75.052553
237-222@628-pj9-ysq,40.0387,-75.130386
238-224@628-pfz-bx5,40.024795000000005,-75.221253
239-222@628-pgj-8sq,39.99146,-75.160768
23d-222@628-p7x-dsq,40.042525,-75.06321899999999
23j-222@628-pm9-5cq,39.915802,-75.164793
23j-222@628-pnx-bp9,39.971507,-75.12589399999999
23j-222@63s-dvw-dd9,39.968018,-75.225399
23p-223@628-p8f-3yv,40.002311,-75.066124
23q-222@63s-dvw-fcq,39.96549,-75.221317
23r-222@628-phz-9fz,40.027579,-75.132189
23r-222@628-pm4-p5f,39.935034,-75.15255
23s-222@628-pm3-vpv,39.92733,-75.166218
23s-222@628-pnw-jsq,39.967499,-75.13698000000001
23w-222@628-p7w-rhq,40.045841,-75.05759
23y-222@628-p8j-cqz,40.037114,-75.04207099999999
243-222@628-p8m-ch5,40.013997,-75.068072
249-222@628-pnw-q4v,39.970006,-75.13744
24d-222@628-pm4-h5z,39.925614,-75.16843
24h-223@628-phz-q4v,40.005718,-75.106759
24n-222@628-pj8-g6k,40.033177,-75.090618
24p-222@628-pnw-k75,39.967765,-75.13554
24x-223@628-pm3-vpv,39.927890000000005,-75.166039
24y-222@628-pm7-p5f,39.936978,-75.188661
25q-222@628-pm9-tn5,39.948564000000005,-75.153931
263-222@628-pm4-6ff,39.931451,-75.17656600000001
26n-222@628-pm7-ty9,39.926771,-75.179815
zzw-222@628-p85-94v,40.057073,-75.05341
zzw-222@628-pfy-wc5,40.017205,-75.212781
zzw-222@628-pgb-5mk,39.960173,-75.16764599999999
zzw-222@628-pgb-rc5,39.958448,-75.202156
zzw-222@628-pgf-6c5,39.966219,-75.20633199999999
zzw-222@628-pgh-c5z,40.001195,-75.154878
zzw-222@628-ph6-94v,39.977874,-75.25036999999999
zzw-222@628-ph6-rrk,39.979507,-75.223163
zzw-222@628-pmf-jy9,39.952289,-75.176914
222-222@628-pgy-qzz,40.051404,-75.238647
222-222@628-pj4-kpv,40.004596,-75.138131
222-222@628-pmd-sbk,39.945611,-75.17991500000001
222-222@63s-dvq-ygk,39.93161,-75.224475
222-226@628-pgj-n5z,39.993397,-75.144129
223-222@628-p9q-y5f,40.086763,-75.038776
223-222@628-pfv-mhq,40.050609,-75.20189
223-222@628-pgd-zvf,39.955641,-75.192203
223-222@628-pgy-gp9,40.061169,-75.23724200000001
223-222@628-pmb-xnq,39.956019,-75.157101
223-222@628-pmf-f9f,39.945691,-75.186633
223-223@628-pj4-zzz,40.005013,-75.150736
224-222@628-p9k-rp9,40.105578,-75.008352
224-222@628-pfy-h3q,40.044047,-75.23228399999999
224-224@628-pmb-6tv,39.951052,-75.16704399999999
225-222@628-php-y5f,40.052099,-75.156382
225-222@628-pj6-c89,40.037946000000005,-75.106532
225-222@628-pp5-dgk,39.993249,-75.110224
226-222@628-p9q-whq,40.082694,-75.037464
227-222@628-p75-9vf,40.040619,-75.014426
227-222@628-p7v-f9f,40.05264,-75.064246
227-222@628-phc-wx5,39.992609,-75.23055
227-222@628-pmf-t7q,39.946697,-75.163966
227-223@628-pmb-8vz,39.950299,-75.158364
227-224@628-pp2-pvz,39.994253,-75.094723
228-22f@628-p85-hkf,40.072083,-75.030728
