,placekey,location_name,top_category,naics_code,poi_cbg
9107,22q-222@628-ph5-wzf,Cheeks Lounge 247,Drinking Places (Alcoholic Beverages),722410,421010112004.0
9108,22r-222@628-pg2-2zf,Napoleon Burger,Restaurants and Other Eating Places,722513,421010210004.0
9109,22r-222@628-pm4-jn5,Friendly Lounge,Drinking Places (Alcoholic Beverages),722410,421010024004.0
9110,22v-222@628-pj9-35z,Howe Julia Ward Sch,Elementary and Secondary Schools,611110,421010276003.0
9111,22x-222@628-pm4-f75,Sunrise,Restaurants and Other Eating Places,722511,421010037012.0
9112,22x-222@63s-dvx-f2k,Solid Rock Fellowship Pentecostal Church,Religious Organizations,813110,421010103001.0
9113,22x-223@628-pmf-sdv,Lithe Method,Other Amusement and Recreation Industries,713940,421010008041.0
9114,22y-223@628-pmf-qzz,Kidari Sushi Yatai,Restaurants and Other Eating Places,722513,421010014001.0
9115,232-222@628-pj3-8y9,Full Gospel Baptist Bible Institute,Religious Organizations,813110,421010201024.0
9116,233-222@628-pp5-975,St John's Episcopal Church,Religious Organizations,813110,421010178003.0
9117,235-223@628-pj5-qs5,Valdez Grocery,Grocery Stores,445110,421010198005.0
9118,237-222@628-phz-3qz,Jana Pharmacy,Health and Personal Care Stores,446110,421010289011.0
9119,237-222@628-pj5-mtv,Urban Hope Training Center,Religious Organizations,813110,421010195022.0
9120,23f-223@628-p7x-nyv,Comfort Zone Childcare,Child Day Care Services,624410,421010331011.0
9121,23h-222@628-pm9-zs5,Homemade Goodies by Roz,Restaurants and Other Eating Places,722511,421010010012.0
9122,23k-222@628-pm4-9pv,Three Countries Pizza and Grill,Restaurants and Other Eating Places,722513,421010030024.0
9123,23p-222@628-pm5-3bk,Six Fishes Healing Arts,Offices of Other Health Practitioners,621399,421010014003.0
9124,23s-222@628-pj3-3kf,Joe's Auto Service,Automotive Repair and Maintenance,8111,421010204003.0
9125,23v-222@628-pmf-qfz,Tio Flores,Restaurants and Other Eating Places,722511,421010014003.0
9126,23v-222@63s-dw2-bkz,Sun Ray Drugs 60th St,Health and Personal Care Stores,446110,421010083022.0
9127,23w-222@628-p8m-mx5,David Peguero,Other Specialty Trade Contractors,2389,421010318004.0
9128,23x-222@628-pmb-gp9,,,0,421010011014.0
9129,249-222@628-pm4-h5z,Ground Up Coffee Shop,Restaurants and Other Eating Places,722515,421010029001.0
9130,25r-222@628-pmb-cbk,Cucina Forte,Restaurants and Other Eating Places,722511,421010018002.0
9131,263-222@628-pm4-2p9,Tandoori Of India,Restaurants and Other Eating Places,722511,421010040012.0
9132,zzw-222@628-p7x-djv,Absolute Smile,Offices of Dentists,621210,421010313002.0
9133,zzw-222@628-pgf-6rk,Belmont Alliance Civic Association,Printing and Related Support Activities,3231,421010107004.0
9134,zzw-222@628-pgj-gp9,Saxbys Temple Fox,Restaurants and Other Eating Places,722515,421010377001.0
9135,zzw-222@628-pj2-8vz,Educationworks Philip H Sheridan,Child Day Care Services,624410,421010192003.0
9136,zzw-222@628-pj5-c89,Burger King,Restaurants and Other Eating Places,722513,421010383001.0
9137,zzw-222@628-pj5-skf,Church Of Praise And Worship,Religious Organizations,813110,421010197004.0
9138,zzw-222@628-pj9-v9f,Godfrey Grocery,Grocery Stores,445110,421010276001.0
9139,zzw-222@628-pmf-qcq,Grilly Cheese,Restaurants and Other Eating Places,722513,421010014003.0
9140,zzw-222@628-pmf-xh5,Parkway Corporation,Other Personal Services,812930,421019800001.0
9141,zzw-222@63s-dvv-4qf,Candlelight Deliverance Ministry,Religious Organizations,813110,421010063004.0
9142,zzw-223@628-pgf-cwk,A A Tires Services,"Automotive Parts, Accessories, and Tire Stores",441320,421010092002.0
9143,zzw-223@628-ph6-6p9,Our Lady Of Lourdes School,Elementary and Secondary Schools,611110,421010114006.0
9144,zzw-223@628-php-zzz,Jesus In Me Christian Child Dev Ctr,Child Day Care Services,624410,421010389001.0
9145,zzw-223@628-pnw-k4v,7-Eleven,Grocery Stores,445120,421010144002.0
9146,zzw-223@628-pnz-n3q,Crossfit Renaissance,Other Amusement and Recreation Industries,713940,421010379006.0
9147,zzw-224@628-pm9-t9z,Morris House Hotel,Traveler Accommodation,721110,421010009021.0
9148,zzw-225@628-pmb-5j9,Finish Line,Shoe Stores,448210,421010005001.0
9149,zzy-22z@628-pmf-6x5,Penn Rheumatology,Offices of Physicians,621111,421010369002.0
9150,zzz-222@628-p7x-tqf,Bradford Park,"Museums, Historical Sites, and Similar Institutions",712190,421010334004.0
9151,zzz-222@628-pgy-k4v,Al Pearlman Sports Center,Other Amusement and Recreation Industries,713940,421010220001.0
9152,zzz-222@628-php-xt9,Chelten 1810 40,"Museums, Historical Sites, and Similar Institutions",712190,421010277002.0
9153,222-222@628-pm5-j9z,Ferguson,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",423720,421019807001.0
9154,222-223@628-p82-p35,Simple Mobile Solutions,Wired and Wireless Telecommunications Carriers,517312,421010311012.0
9155,223-222@628-p7w-8sq,Philadelphia Portuguese Club,Gambling Industries,713210,421010336001.0
9156,223-222@628-pnx-5vf,Statuz Nightclub,Drinking Places (Alcoholic Beverages),722410,421010376001.0
9157,223-223@628-pj4-c89,Wister Mini Market,Grocery Stores,445110,421010245002.0
9158,224-222@628-ph5-v4v,United Auto Repair,Automobile Dealers,441120,421010114006.0
9159,224-224@628-pgd-xdv,,,0,421010109001.0
9160,226-222@628-p86-92k,James Minerva's Hair Styling,Personal Care Services,81211,421010341005.0
9161,226-223@628-p7x-3yv,Solis Cohen Solomon Sch,Elementary and Secondary Schools,611110,421010314012.0
9162,226-223@628-pgb-54v,Quisqueya,Restaurants and Other Eating Places,722511,421010376002.0
9163,227-222@63s-dvw-y5f,Lela's Braiding Gallery,Personal Care Services,81211,421010084004.0
9164,228-222@628-pgf-hwk,Mount Olivet Tabernacle Baptist Church,Religious Organizations,813110,421010106002.0
9165,228-222@628-phy-z75,Iglesia Pentecostal Adulam,Religious Organizations,813110,421010290003.0
9166,228-224@628-ph6-p5f,Dunkin',Restaurants and Other Eating Places,722515,421010111005.0
9167,229-222@63s-dvw-r49,South Squad Entertainment,"Other Professional, Scientific, and Technical Services",54192,421010095003.0
9168,22b-222@628-pm9-s3q,Pizza Fresca by Lamberti,Restaurants and Other Eating Places,722511,421010005001.0
9169,22b-222@628-pmb-6rk,Banana Republic,Clothing Stores,448140,421010007002.0
9170,22d-222@628-pfz-bhq,The Juice Merchant,Restaurants and Other Eating Places,722515,421010214001.0
9171,22f-222@628-pfw-wtv,Akilah J Pierre MFT,Offices of Other Health Practitioners,621330,421010243002.0
9172,22f-222@628-pm4-vcq,Dentex Dental Group,Offices of Dentists,621210,421010027024.0
9173,22g-222@628-pjb-35z,Tabor Hardware,Building Material and Supplies Dealers,4441,421010275003.0
